Project Name,Package Name,Type Name,Code Smell
carballo,com.alonsoruibal.chess.bitboard,AttacksInfo,Deficient Encapsulation
carballo,com.alonsoruibal.chess.bitboard,AttacksInfo,Cyclic-Dependent Modularization
carballo,com.alonsoruibal.chess.bitboard,BitboardAttacks,Deficient Encapsulation
carballo,com.alonsoruibal.chess.bitboard,BitboardAttacks,Cyclic-Dependent Modularization
carballo,com.alonsoruibal.chess.bitboard,BitboardAttacksMagic,Deficient Encapsulation
carballo,com.alonsoruibal.chess.bitboard,BitboardUtils,Deficient Encapsulation
carballo,com.alonsoruibal.chess.bitboard,BitboardUtils,Insufficient Modularization
carballo,com.alonsoruibal.chess.bitboard,MagicNumbersGenerator,Deficient Encapsulation
carballo,com.alonsoruibal.chess,Board,Deficient Encapsulation
carballo,com.alonsoruibal.chess,Board,Cyclic-Dependent Modularization
carballo,com.alonsoruibal.chess,Board,Insufficient Modularization
carballo,com.alonsoruibal.chess,Color,Unnecessary Abstraction
carballo,com.alonsoruibal.chess,Color,Deficient Encapsulation
carballo,com.alonsoruibal.chess,Config,Deficient Encapsulation
carballo,com.alonsoruibal.chess,Config,Insufficient Modularization
carballo,com.alonsoruibal.chess,Move,Deficient Encapsulation
carballo,com.alonsoruibal.chess,Move,Cyclic-Dependent Modularization
carballo,com.alonsoruibal.chess,Move,Insufficient Modularization
carballo,com.alonsoruibal.chess,Pgn,Unutilized Abstraction
carballo,com.alonsoruibal.chess,Pgn,Insufficient Modularization
carballo,com.alonsoruibal.chess,Piece,Deficient Encapsulation
carballo,com.alonsoruibal.chess,Piece,Broken Modularization
carballo,com.alonsoruibal.chess,Square,Deficient Encapsulation
carballo,com.alonsoruibal.chess,Square,Broken Modularization
carballo,com.alonsoruibal.chess,AttacksInfoTest,Unutilized Abstraction
carballo,com.alonsoruibal.chess,BaseTest,Unutilized Abstraction
carballo,com.alonsoruibal.chess,BasicEloTest,Unutilized Abstraction
carballo,com.alonsoruibal.chess,BitBoardUtilsTest,Unutilized Abstraction
carballo,com.alonsoruibal.chess,BoardTest,Unutilized Abstraction
carballo,com.alonsoruibal.chess,BookTest,Unutilized Abstraction
carballo,com.alonsoruibal.chess,ContemptFactorTest,Unutilized Abstraction
carballo,com.alonsoruibal.chess,DrawDetectionTest,Unutilized Abstraction
carballo,com.alonsoruibal.chess,EndgameTest,Unutilized Abstraction
carballo,com.alonsoruibal.chess,EvaluatorOpeningEndgameTest,Unutilized Abstraction
carballo,com.alonsoruibal.chess,EvaluatorTest,Unutilized Abstraction
carballo,com.alonsoruibal.chess,KPKBitbaseTest,Unutilized Abstraction
carballo,com.alonsoruibal.chess,MateTest,Unutilized Abstraction
carballo,com.alonsoruibal.chess,MoveGenerationPerftTest,Unutilized Abstraction
carballo,com.alonsoruibal.chess,MoveIteratorPerftTest,Unutilized Abstraction
carballo,com.alonsoruibal.chess,MoveIteratorTest,Unutilized Abstraction
carballo,com.alonsoruibal.chess,MoveTest,Unutilized Abstraction
carballo,com.alonsoruibal.chess,ParseMoveTest,Unutilized Abstraction
carballo,com.alonsoruibal.chess,PerformanceTest,Unutilized Abstraction
carballo,com.alonsoruibal.chess,ProblemsPgnTest,Unutilized Abstraction
carballo,com.alonsoruibal.chess,SearchEngineTest,Unutilized Abstraction
carballo,com.alonsoruibal.chess,SearchEngineTest,Broken Hierarchy
carballo,com.alonsoruibal.chess,SeeTest,Unutilized Abstraction
carballo,com.alonsoruibal.chess,TestColors,Unnecessary Abstraction
carballo,com.alonsoruibal.chess,TestColors,Deficient Encapsulation
carballo,com.alonsoruibal.chess,TournamentTest,Unutilized Abstraction
carballo,com.alonsoruibal.chess,TranspositionTableTest,Unutilized Abstraction
carballo,com.alonsoruibal.chess,ZobristKeyTest,Unutilized Abstraction
carballo,com.alonsoruibal.chess.book,ArrayBufferBook,Unutilized Abstraction
carballo,com.alonsoruibal.chess.evaluation,CompleteEvaluator,Imperative Abstraction
carballo,com.alonsoruibal.chess.evaluation,CompleteEvaluator,Deficient Encapsulation
carballo,com.alonsoruibal.chess.evaluation,Endgame,Imperative Abstraction
carballo,com.alonsoruibal.chess.evaluation,Endgame,Deficient Encapsulation
carballo,com.alonsoruibal.chess.evaluation,Evaluator,Deficient Encapsulation
carballo,com.alonsoruibal.chess.evaluation,ExperimentalEvaluator,Imperative Abstraction
carballo,com.alonsoruibal.chess.evaluation,ExperimentalEvaluator,Unutilized Abstraction
carballo,com.alonsoruibal.chess.evaluation,SimplifiedEvaluator,Imperative Abstraction
carballo,com.alonsoruibal.chess.evaluation,KPKBitbaseGenerator,Deficient Encapsulation
carballo,com.alonsoruibal.chess.evaluation,KPKPosition,Unutilized Abstraction
carballo,com.alonsoruibal.chess.hash,ZobristKey,Deficient Encapsulation
carballo,com.alonsoruibal.chess.hash,ZobristKey,Cyclic-Dependent Modularization
carballo,com.alonsoruibal.chess.hash,ZobristKeyFen,Imperative Abstraction
carballo,com.alonsoruibal.chess.log,Logger,Deficient Encapsulation
carballo,com.alonsoruibal.chess.movegen,LegalMoveGenerator,Unutilized Abstraction
carballo,com.alonsoruibal.chess.movegen,LegalMoveGenerator,Cyclic-Dependent Modularization
carballo,com.alonsoruibal.chess.movegen,MagicMoveGenerator,Imperative Abstraction
carballo,com.alonsoruibal.chess.movegen,MagicMoveGenerator,Unutilized Abstraction
