Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
carballo,com.alonsoruibal.chess.bitboard,AttacksInfo,AttacksInfo,3,1,0
carballo,com.alonsoruibal.chess.bitboard,AttacksInfo,checkPinnerRay,11,3,3
carballo,com.alonsoruibal.chess.bitboard,AttacksInfo,checkPinnerBishop,14,3,5
carballo,com.alonsoruibal.chess.bitboard,AttacksInfo,checkPinnerRook,14,3,5
carballo,com.alonsoruibal.chess.bitboard,AttacksInfo,build,108,16,1
carballo,com.alonsoruibal.chess.bitboard,BitboardAttacks,getInstance,11,3,0
carballo,com.alonsoruibal.chess.bitboard,BitboardAttacks,squareAttackedAux,12,3,3
carballo,com.alonsoruibal.chess.bitboard,BitboardAttacks,squareAttackedAuxSlider,13,3,3
carballo,com.alonsoruibal.chess.bitboard,BitboardAttacks,BitboardAttacks,23,2,0
carballo,com.alonsoruibal.chess.bitboard,BitboardAttacks,isSquareAttacked,3,1,3
carballo,com.alonsoruibal.chess.bitboard,BitboardAttacks,areSquaresAttacked,11,3,3
carballo,com.alonsoruibal.chess.bitboard,BitboardAttacks,isIndexAttacked,20,6,3
carballo,com.alonsoruibal.chess.bitboard,BitboardAttacks,getIndexAttacks,7,2,2
carballo,com.alonsoruibal.chess.bitboard,BitboardAttacks,getXrayAttacks,6,2,3
carballo,com.alonsoruibal.chess.bitboard,BitboardAttacks,getRookAttacks,3,1,2
carballo,com.alonsoruibal.chess.bitboard,BitboardAttacks,getBishopAttacks,3,1,2
carballo,com.alonsoruibal.chess.bitboard,BitboardAttacks,getRookShiftAttacks,3,1,2
carballo,com.alonsoruibal.chess.bitboard,BitboardAttacks,getBishopShiftAttacks,3,1,2
carballo,com.alonsoruibal.chess.bitboard,BitboardAttacks,checkSquareAttackedAux,16,4,4
carballo,com.alonsoruibal.chess.bitboard,BitboardAttacksMagic,BitboardAttacksMagic,33,4,0
carballo,com.alonsoruibal.chess.bitboard,BitboardAttacksMagic,generatePieces,11,3,3
carballo,com.alonsoruibal.chess.bitboard,BitboardAttacksMagic,squareAttackedAuxSliderMask,15,4,3
carballo,com.alonsoruibal.chess.bitboard,BitboardAttacksMagic,magicTransform,3,1,3
carballo,com.alonsoruibal.chess.bitboard,BitboardAttacksMagic,getRookAttacks,4,1,2
carballo,com.alonsoruibal.chess.bitboard,BitboardAttacksMagic,getBishopAttacks,4,1,2
carballo,com.alonsoruibal.chess.bitboard,BitboardUtils,index2Square,3,1,1
carballo,com.alonsoruibal.chess.bitboard,BitboardUtils,changeEndianArray64,7,2,1
carballo,com.alonsoruibal.chess.bitboard,BitboardUtils,changeEndianArray64,7,2,1
carballo,com.alonsoruibal.chess.bitboard,BitboardUtils,toString,12,3,1
carballo,com.alonsoruibal.chess.bitboard,BitboardUtils,flipHorizontalIndex,3,1,1
carballo,com.alonsoruibal.chess.bitboard,BitboardUtils,square2Algebraic,3,1,1
carballo,com.alonsoruibal.chess.bitboard,BitboardUtils,index2Algebraic,3,1,1
