Project Name,Package Name,Type Name,Method Name,Code Smell
carballo,com.alonsoruibal.chess.bitboard,AttacksInfo,checkPinnerBishop,Long Parameter List
carballo,com.alonsoruibal.chess.bitboard,AttacksInfo,checkPinnerBishop,Magic Number
carballo,com.alonsoruibal.chess.bitboard,AttacksInfo,checkPinnerBishop,Magic Number
carballo,com.alonsoruibal.chess.bitboard,AttacksInfo,checkPinnerBishop,Magic Number
carballo,com.alonsoruibal.chess.bitboard,AttacksInfo,checkPinnerRook,Long Parameter List
carballo,com.alonsoruibal.chess.bitboard,AttacksInfo,checkPinnerRook,Magic Number
carballo,com.alonsoruibal.chess.bitboard,AttacksInfo,checkPinnerRook,Magic Number
carballo,com.alonsoruibal.chess.bitboard,AttacksInfo,checkPinnerRook,Magic Number
carballo,com.alonsoruibal.chess.bitboard,AttacksInfo,build,Complex Method
carballo,com.alonsoruibal.chess.bitboard,AttacksInfo,build,Long Method
carballo,com.alonsoruibal.chess.bitboard,AttacksInfo,build,Long Statement
carballo,com.alonsoruibal.chess.bitboard,AttacksInfo,build,Long Statement
carballo,com.alonsoruibal.chess.bitboard,AttacksInfo,build,Magic Number
carballo,com.alonsoruibal.chess.bitboard,BitboardAttacks,BitboardAttacks,Long Statement
carballo,com.alonsoruibal.chess.bitboard,BitboardAttacks,BitboardAttacks,Long Statement
carballo,com.alonsoruibal.chess.bitboard,BitboardAttacks,BitboardAttacks,Long Statement
carballo,com.alonsoruibal.chess.bitboard,BitboardAttacks,BitboardAttacks,Long Statement
carballo,com.alonsoruibal.chess.bitboard,BitboardAttacks,BitboardAttacks,Long Statement
carballo,com.alonsoruibal.chess.bitboard,BitboardAttacks,BitboardAttacks,Long Statement
carballo,com.alonsoruibal.chess.bitboard,BitboardAttacks,BitboardAttacks,Magic Number
carballo,com.alonsoruibal.chess.bitboard,BitboardAttacks,BitboardAttacks,Magic Number
carballo,com.alonsoruibal.chess.bitboard,BitboardAttacks,BitboardAttacks,Magic Number
carballo,com.alonsoruibal.chess.bitboard,BitboardAttacks,BitboardAttacks,Magic Number
carballo,com.alonsoruibal.chess.bitboard,BitboardAttacks,BitboardAttacks,Magic Number
carballo,com.alonsoruibal.chess.bitboard,BitboardAttacks,BitboardAttacks,Magic Number
carballo,com.alonsoruibal.chess.bitboard,BitboardAttacks,BitboardAttacks,Magic Number
carballo,com.alonsoruibal.chess.bitboard,BitboardAttacks,BitboardAttacks,Magic Number
carballo,com.alonsoruibal.chess.bitboard,BitboardAttacks,BitboardAttacks,Magic Number
carballo,com.alonsoruibal.chess.bitboard,BitboardAttacks,BitboardAttacks,Magic Number
carballo,com.alonsoruibal.chess.bitboard,BitboardAttacks,BitboardAttacks,Magic Number
carballo,com.alonsoruibal.chess.bitboard,BitboardAttacks,BitboardAttacks,Magic Number
carballo,com.alonsoruibal.chess.bitboard,BitboardAttacks,BitboardAttacks,Magic Number
carballo,com.alonsoruibal.chess.bitboard,BitboardAttacks,BitboardAttacks,Magic Number
carballo,com.alonsoruibal.chess.bitboard,BitboardAttacks,BitboardAttacks,Magic Number
carballo,com.alonsoruibal.chess.bitboard,BitboardAttacks,BitboardAttacks,Magic Number
carballo,com.alonsoruibal.chess.bitboard,BitboardAttacks,BitboardAttacks,Magic Number
carballo,com.alonsoruibal.chess.bitboard,BitboardAttacks,BitboardAttacks,Magic Number
carballo,com.alonsoruibal.chess.bitboard,BitboardAttacks,BitboardAttacks,Magic Number
carballo,com.alonsoruibal.chess.bitboard,BitboardAttacks,BitboardAttacks,Magic Number
carballo,com.alonsoruibal.chess.bitboard,BitboardAttacks,BitboardAttacks,Magic Number
carballo,com.alonsoruibal.chess.bitboard,BitboardAttacks,BitboardAttacks,Magic Number
carballo,com.alonsoruibal.chess.bitboard,BitboardAttacks,BitboardAttacks,Magic Number
carballo,com.alonsoruibal.chess.bitboard,BitboardAttacks,BitboardAttacks,Magic Number
carballo,com.alonsoruibal.chess.bitboard,BitboardAttacks,BitboardAttacks,Magic Number
carballo,com.alonsoruibal.chess.bitboard,BitboardAttacks,BitboardAttacks,Magic Number
