Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
carballo,com.alonsoruibal.chess.bitboard,AttacksInfo,21,20,5,2,182,26,0,0,0.0,12,4
carballo,com.alonsoruibal.chess.bitboard,BitboardAttacks,8,6,14,10,165,33,1,0,0.14285714285714285,12,5
carballo,com.alonsoruibal.chess.bitboard,BitboardAttacksMagic,9,8,6,4,87,14,0,1,0.0,2,3
carballo,com.alonsoruibal.chess.bitboard,BitboardUtils,39,39,21,21,182,35,0,0,0.7142857142857143,21,1
carballo,com.alonsoruibal.chess.bitboard,MagicNumbersGenerator,1,1,4,1,86,17,0,0,0.0,1,4
carballo,com.alonsoruibal.chess,Board,52,26,56,51,987,190,0,0,0.0,46,10
carballo,com.alonsoruibal.chess,Color,2,2,0,0,4,0,0,0,-1.0,10,0
carballo,com.alonsoruibal.chess,Config,21,16,21,20,102,22,0,0,0.38095238095238093,8,1
carballo,com.alonsoruibal.chess,Move,16,16,25,25,398,104,0,0,0.12,33,6
carballo,com.alonsoruibal.chess,Pgn,18,0,22,21,322,73,0,0,0.13636363636363635,0,3
carballo,com.alonsoruibal.chess,Piece,6,6,0,0,8,0,0,0,-1.0,6,0
carballo,com.alonsoruibal.chess,Square,67,67,0,0,69,0,0,0,-1.0,6,0
carballo,com.alonsoruibal.chess,AttacksInfoTest,0,0,3,3,29,3,0,0,-1.0,0,3
carballo,com.alonsoruibal.chess,BaseTest,0,0,5,1,52,5,4,0,-1.0,0,7
carballo,com.alonsoruibal.chess,BasicEloTest,1,0,3,0,230,62,0,0,0.0,0,4
carballo,com.alonsoruibal.chess,BitBoardUtilsTest,0,0,3,0,20,3,0,0,-1.0,0,1
carballo,com.alonsoruibal.chess,BoardTest,0,0,14,0,107,14,0,0,-1.0,0,2
carballo,com.alonsoruibal.chess,BookTest,0,0,1,0,17,2,0,0,-1.0,0,3
carballo,com.alonsoruibal.chess,ContemptFactorTest,0,0,1,0,5,1,0,1,-1.0,0,1
carballo,com.alonsoruibal.chess,DrawDetectionTest,0,0,4,0,43,4,0,0,-1.0,0,3
carballo,com.alonsoruibal.chess,EndgameTest,0,0,12,0,72,12,0,1,-1.0,0,1
